step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe, F_LIm, acc
126,400.000000,30.792294,-1876.705756,-1949.258389,20.278289,-4.629648,-6.806828,0.108445
127,400.000000,30.828959,-1876.406004,-1949.045028,22.727495,-4.629648,-6.806828,0.108652
128,400.000000,30.737309,-1883.556827,-1955.979904,23.616987,-4.629648,-6.806828,0.108488
129,400.000000,30.748471,-1904.455854,-1976.905233,22.662525,-4.629648,-6.806828,0.108500
130,400.000000,30.385831,-1897.887747,-1969.482674,25.438176,-4.629648,-6.806828,0.108473
131,400.000000,30.755611,-1906.433933,-1978.900135,14.876929,-4.629648,-6.806828,0.108409
132,400.000000,31.054933,-1912.210359,-1985.381821,16.390491,-4.629648,-6.806828,0.108271
133,400.000000,31.054933,-1911.227480,-1984.398943,14.434422,-4.629648,-6.806828,0.108134
134,400.000000,30.935080,-1915.998970,-1988.888034,14.105003,-4.629648,-6.806828,0.107870
135,400.000000,30.231714,-1918.803676,-1990.035475,12.741486,-4.629648,-6.806828,0.107868
136,400.000000,30.103913,-1901.154126,-1972.084800,9.809984,-4.629648,-6.806828,0.107792
137,400.000000,28.993893,-1899.765301,-1968.080553,7.693696,-4.629648,-6.806828,0.107754
138,400.000000,29.121695,-1907.917091,-1976.533468,19.095486,-4.629648,-6.806828,0.107626
139,400.000000,29.810941,-1898.738954,-1968.979330,18.870551,-4.629648,-6.806828,0.107446
140,400.000000,29.609577,-1900.552481,-1970.318402,15.197273,-4.629648,-6.806828,0.107216
141,400.000000,30.148813,-1903.522504,-1974.558972,18.236985,-4.629648,-6.806828,0.107113
142,400.000000,30.572789,-1900.186057,-1972.221495,13.407597,-4.629648,-6.806828,0.107010
143,400.000000,30.263508,-1912.148242,-1983.454952,14.754209,-4.629648,-6.806828,0.106927
144,400.000000,30.177745,-1909.687274,-1980.791910,12.991678,-4.629648,-6.806828,0.106845
145,400.000000,27.477453,-1913.899789,-1978.642013,15.732081,-4.629648,-6.806828,0.106935
146,400.000000,27.556326,-1907.479083,-1972.407147,15.977749,-4.629648,-6.806828,0.106837
147,400.000000,27.627181,-1906.694514,-1971.789526,13.261676,-4.629648,-6.806828,0.106639
148,400.000000,27.252484,-1904.776709,-1968.988861,12.636687,-4.629648,-6.806828,0.106628
149,400.000000,27.137784,-1909.819831,-1973.761728,13.127514,-4.629648,-6.806828,0.106433
150,400.000000,27.167601,-1916.693911,-1980.706062,11.539761,-4.629648,-6.806828,0.106308
151,400.000000,26.796403,-1914.450825,-1977.588362,17.417581,-4.629648,-6.806828,0.106447
152,400.000000,25.989635,-1923.774079,-1985.010714,13.787461,-4.629648,-6.806828,0.106356
153,400.000000,21.906143,-1930.708495,-1982.323629,13.120874,-4.629648,-6.806828,0.106347
154,400.000000,21.798132,-1930.408128,-1981.768766,14.977296,-4.629648,-6.806828,0.106371
155,400.000000,23.592001,-1924.797815,-1980.385157,15.103686,-4.629648,-6.806828,0.106314
156,400.000000,22.718177,-1908.556891,-1962.085334,18.141058,-4.629648,-6.806828,0.106306
157,400.000000,23.750994,-1913.085429,-1969.047390,20.456798,-4.629648,-6.806828,0.106155
158,400.000000,23.817325,-1917.895333,-1974.013583,23.596842,-4.629648,-6.806828,0.105991
159,400.000000,23.607833,-1929.094819,-1984.719465,23.761275,-4.629648,-6.806828,0.105922
